index,roll,pitch,yaw,jaw,roll_dts,pitch_dts,yaw_dts,jaw_dts,cycle,epoch_time
332,-5.410520681182422,0,-24.127335374002836,9.0,-5.41041,-6.9e-05,-1.22456,0.16704,13,1539279840.603739
333,-5.410520681182422,0,-24.127335374002836,8.5,-5.41041,-0.001373,-1.226656,0.1577,13,1539279842.110543
334,-5.410520681182422,0,-24.127335374002836,8.0,-5.41041,0.00151,-1.225132,0.148932,13,1539279843.618371
335,-5.410520681182422,0,-24.127335374002836,7.5,-5.41041,0.002677,-1.225386,0.142197,13,1539279845.125025
336,-5.410520681182422,0,-24.127335374002836,7.0,-5.41041,0.003638,-1.221256,0.131078,13,1539279846.63135
337,-5.410520681182422,0,-24.127335374002836,6.5,-5.41041,0.003569,-1.221319,0.124661,13,1539279848.136397
338,-5.410520681182422,0,-24.127335374002836,6.0,-5.41041,0.000618,-1.22367,0.116972,13,1539279849.643546
339,-5.410520681182422,0,-24.127335374002836,5.5,-5.41041,0.000892,-1.222653,0.108585,13,1539279851.150026
340,-5.410520681182422,0,-24.127335374002836,5.0,-5.41041,0.002128,-1.225703,0.101724,13,1539279852.655921
341,-5.410520681182422,0,-24.127335374002836,4.5,-5.41041,0.000755,-1.223035,0.090795,13,1539279854.161757
342,-5.410520681182422,0,-24.127335374002836,4.0,-5.41041,-0.000824,-1.223479,0.086284,13,1539279855.668739
343,-5.410520681182422,0,-24.127335374002836,3.5,-5.41041,0.000274,-1.222971,0.071797,13,1539279857.175859
344,-5.410520681182422,0,-24.127335374002836,3.0,-5.41041,0.000686,-1.223098,0.063664,13,1539279858.68213
345,-5.410520681182422,0,-24.127335374002836,2.5,-5.41041,-0.00151,-1.224623,0.058709,13,1539279860.189079
346,-5.410520681182422,0,-24.127335374002836,2.0,-5.41041,-0.000275,-1.221827,0.050957,13,1539279861.695989
347,-5.410520681182422,0,-24.127335374002836,1.5,-5.41041,-0.000618,-1.223035,0.040982,13,1539279863.201986
348,-5.410520681182422,0,-24.127335374002836,1.0,-5.41041,-0.003295,-1.224623,0.036343,13,1539279864.709066
349,-5.410520681182422,0,-24.127335374002836,0.5,-5.41041,-0.000961,-1.222463,0.022111,13,1539279866.216098
350,-5.410520681182422,0,-24.127335374002836,0.0,-5.41041,-0.000343,-1.223289,0.008069,13,1539279867.723927
351,5.410520681182422,0.8726646259971648,-24.127335374002836,2.5,5.41041,0.86872,-1.219667,0.031641,14,1539279870.735932
352,5.410520681182422,0.8726646259971648,-24.127335374002836,12.5,5.41041,0.868652,-1.218841,0.201351,14,1539279872.24121
353,5.410520681182422,0.8726646259971648,-24.127335374002836,12.0,5.41041,0.868721,-1.216872,0.199762,14,1539279873.747415
354,5.410520681182422,0.8726646259971648,-24.127335374002836,11.5,5.41041,0.868652,-1.216173,0.198936,14,1539279875.254
355,5.410520681182422,0.8726646259971648,-24.127335374002836,11.0,5.41041,0.869888,-1.216427,0.191185,14,1539279876.761004
356,5.410520681182422,0.8726646259971648,-24.127335374002836,10.5,5.41041,0.870505,-1.216109,0.183624,14,1539279878.269028
357,5.410520681182422,0.8726646259971648,-24.127335374002836,10.0,5.41041,0.870574,-1.215537,0.180256,14,1539279879.774919
358,5.410520681182422,0.8726646259971648,-24.127335374002836,9.5,5.41041,0.870025,-1.216808,0.169073,14,1539279881.281319
359,5.410520681182422,0.8726646259971648,-24.127335374002836,9.0,5.41041,0.869064,-1.21757,0.161957,14,1539279882.78684
360,5.410520681182422,0.8726646259971648,-24.127335374002836,8.5,5.41041,0.868652,-1.218079,0.154841,14,1539279884.294278
361,5.410520681182422,0.8726646259971648,-24.127335374002836,8.0,5.41041,0.867897,-1.218905,0.149949,14,1539279885.801339
362,5.410520681182422,0.8726646259971648,-24.127335374002836,7.5,5.41041,0.86824,-1.218714,0.141879,14,1539279887.307254
363,5.410520681182422,0.8726646259971648,-24.127335374002836,7.0,5.41041,0.867348,-1.219286,0.137495,14,1539279888.81382
364,5.410520681182422,0.8726646259971648,-24.127335374002836,6.5,5.41041,0.867416,-1.218968,0.130061,14,1539279890.319314
365,5.410520681182422,0.8726646259971648,-24.127335374002836,6.0,5.41041,0.868378,-1.219604,0.119387,14,1539279891.82621
366,5.410520681182422,0.8726646259971648,-24.127335374002836,5.5,5.41041,0.869544,-1.221192,0.114622,14,1539279893.332045
367,5.410520681182422,0.8726646259971648,-24.127335374002836,5.0,5.41041,0.871535,-1.222781,0.098166,14,1539279894.837098
368,5.410520681182422,0.8726646259971648,-24.127335374002836,4.5,5.41041,0.871878,-1.222717,0.096196,14,1539279896.344226
369,5.410520681182422,0.8726646259971648,-24.127335374002836,4.0,5.41041,0.872015,-1.222336,0.083107,14,1539279897.850988
370,5.410520681182422,0.8726646259971648,-24.127335374002836,3.5,5.41041,0.872839,-1.221955,0.077389,14,1539279899.35732
371,5.410520681182422,0.8726646259971648,-24.127335374002836,3.0,5.41041,0.870848,-1.216935,0.069573,14,1539279900.864082
372,5.410520681182422,0.8726646259971648,-24.127335374002836,2.5,5.41041,0.869887,-1.217952,0.058264,14,1539279902.37114
373,5.410520681182422,0.8726646259971648,-24.127335374002836,2.0,5.41041,0.870437,-1.216173,0.052546,14,1539279903.87811
374,5.410520681182422,0.8726646259971648,-24.127335374002836,1.5,5.41041,0.869407,-1.217253,0.040156,14,1539279905.384425
375,5.410520681182422,0.8726646259971648,-24.127335374002836,1.0,5.41041,0.871741,-1.215092,0.033294,14,1539279906.890163
376,5.410520681182422,0.8726646259971648,-24.127335374002836,0.5,5.41041,0.869475,-1.211471,0.027766,14,1539279908.396317
377,5.410520681182422,0.8726646259971648,-24.127335374002836,0.0,5.41041,0.871603,-1.212678,0.014995,14,1539279909.902731
378,-5.410520681182422,-0.8726646259971648,-24.127335374002836,2.5,-5.41041,-0.863229,-1.221319,0.034056,15,1539279912.915155
379,-5.410520681182422,-0.8726646259971648,-24.127335374002836,12.5,-5.41041,-0.862474,-1.222399,0.201731,15,1539279914.421045
380,-5.410520681182422,-0.8726646259971648,-24.127335374002836,12.0,-5.41041,-0.859935,-1.219286,0.198237,15,1539279915.927978
381,-5.410520681182422,-0.8726646259971648,-24.127335374002836,11.5,-5.41041,-0.861376,-1.215537,0.194107,15,1539279917.434435
382,-5.410520681182422,-0.8726646259971648,-24.127335374002836,11.0,-5.41041,-0.859317,-1.216935,0.189024,15,1539279918.941295
383,-5.410520681182422,-0.8726646259971648,-24.127335374002836,10.5,-5.41041,-0.858836,-1.21738,0.180828,15,1539279920.449414
384,-5.410520681182422,-0.8726646259971648,-24.127335374002836,10.0,-5.41041,-0.85863,-1.21757,0.172123,15,1539279921.95517
385,-5.410520681182422,-0.8726646259971648,-24.127335374002836,9.5,-5.41041,-0.859179,-1.218079,0.163482,15,1539279923.461096
386,-5.410520681182422,-0.8726646259971648,-24.127335374002836,9.0,-5.41041,-0.855885,-1.22151,0.158272,15,1539279924.96719
387,-5.410520681182422,-0.8726646259971648,-24.127335374002836,8.5,-5.41041,-0.855885,-1.22151,0.150902,15,1539279926.471661
388,-5.410520681182422,-0.8726646259971648,-24.127335374002836,8.0,-5.41041,-0.855542,-1.221192,0.147534,15,1539279927.978407
389,-5.410520681182422,-0.8726646259971648,-24.127335374002836,7.5,-5.41041,-0.85561,-1.222145,0.139465,15,1539279929.48365
390,-5.410520681182422,-0.8726646259971648,-24.127335374002836,7.0,-5.41041,-0.854512,-1.223162,0.129045,15,1539279930.989752
391,-5.410520681182422,-0.8726646259971648,-24.127335374002836,6.5,-5.41041,-0.854993,-1.223098,0.126948,15,1539279932.496624
392,-5.410520681182422,-0.8726646259971648,-24.127335374002836,6.0,-5.41041,-0.853894,-1.219922,0.121102,15,1539279934.004617
393,-5.410520681182422,-0.8726646259971648,-24.127335374002836,5.5,-5.41041,-0.854649,-1.2224,0.108586,15,1539279935.511671
394,-5.410520681182422,-0.8726646259971648,-24.127335374002836,5.0,-5.41041,-0.853825,-1.222781,0.098674,15,1539279937.019623
395,-5.410520681182422,-0.8726646259971648,-24.127335374002836,4.5,-5.41041,-0.852041,-1.226084,0.093083,15,1539279938.525378
396,-5.410520681182422,-0.8726646259971648,-24.127335374002836,4.0,-5.41041,-0.85259,-1.221891,0.082154,15,1539279940.03069
397,-5.410520681182422,-0.8726646259971648,-24.127335374002836,3.5,-5.41041,-0.849364,-1.226402,0.076372,15,1539279941.537651
398,-5.410520681182422,-0.8726646259971648,-24.127335374002836,3.0,-5.41041,-0.850188,-1.222209,0.064681,15,1539279943.04365
399,-5.410520681182422,-0.8726646259971648,-24.127335374002836,2.5,-5.41041,-0.852247,-1.222336,0.058201,15,1539279944.550008
400,-5.410520681182422,-0.8726646259971648,-24.127335374002836,2.0,-5.41041,-0.852796,-1.222463,0.044095,15,1539279946.05673
401,-5.410520681182422,-0.8726646259971648,-24.127335374002836,1.5,-5.41041,-0.852796,-1.222717,0.042697,15,1539279947.564278
402,-5.410520681182422,-0.8726646259971648,-24.127335374002836,1.0,-5.41041,-0.850668,-1.225576,0.028528,15,1539279949.071686
403,-5.410520681182422,-0.8726646259971648,-24.127335374002836,0.5,-5.41041,-0.852521,-1.222336,0.02173,15,1539279950.579263
404,-5.410520681182422,-0.8726646259971648,-24.127335374002836,0.0,-5.41041,-0.849707,-1.225576,0.016392,15,1539279952.085758
405,0,0,24.127335374002836,25.0,0.000245,-0.002814,1.218079,0.333,16,1539279955.098105
406,0,0,24.127335374002836,12.5,0.000245,0.00048,1.215665,0.232484,16,1539279956.605841
407,0,0,24.127335374002836,12.0,0.000245,0.000892,1.212869,0.21876,16,1539279958.111962
408,0,0,24.127335374002836,11.5,0.000245,-0.001098,1.210899,0.214249,16,1539279959.617597
409,0,0,24.127335374002836,11.0,0.000245,-0.001785,1.210772,0.208403,16,1539279961.1229
410,0,0,24.127335374002836,10.5,0.000245,-0.001579,1.209184,0.194616,16,1539279962.630224
411,0,0,24.127335374002836,10.0,0.000245,-0.003364,1.207405,0.187753,16,1539279964.136233
412,0,0,24.127335374002836,9.5,0.000245,-0.000892,1.203593,0.182162,16,1539279965.642917
413,0,0,24.127335374002836,9.0,0.000245,-0.000824,1.202639,0.165325,16,1539279967.150076
414,0,0,24.127335374002836,8.5,0.000245,-0.000412,1.201623,0.162783,16,1539279968.656918
415,0,0,24.127335374002836,8.0,0.000245,-0.000961,1.196286,0.154015,16,1539279970.163224
416,0,0,24.127335374002836,7.5,0.000245,-0.000686,1.195015,0.145628,16,1539279971.669966
417,0,0,24.127335374002836,7.0,0.000245,-0.001373,1.192855,0.135208,16,1539279973.177093
418,0,0,24.127335374002836,6.5,0.000245,-0.003363,1.190377,0.129807,16,1539279974.683109
419,0,0,24.127335374002836,6.0,0.000245,-0.002196,1.186755,0.121357,16,1539279976.19022
420,0,0,24.127335374002836,5.5,0.000245,-0.000343,1.185294,0.108204,16,1539279977.696764
421,0,0,24.127335374002836,5.0,0.000245,-6.9e-05,1.183896,0.106044,16,1539279979.204017
422,0,0,24.127335374002836,4.5,0.000245,-0.000206,1.184023,0.089906,16,1539279980.710128
423,0,0,24.127335374002836,4.0,0.000245,-0.003363,1.18199,0.084695,16,1539279982.217165
424,0,0,24.127335374002836,3.5,0.000245,-0.003363,1.179321,0.074911,16,1539279983.723432
425,0,0,24.127335374002836,3.0,0.000245,-0.001579,1.17589,0.063093,16,1539279985.230248
